Price,Close,High,Low,Open,Volume
Ticker,AMGN,AMGN,AMGN,AMGN,AMGN
Date,,,,,
2024-03-08,265.6520690917969,268.3789427560282,263.96355034855947,264.73987331641456,2250800
2024-03-11,267.2144470214844,269.96074819795507,264.91455971623805,266.3896149171099,1851000
2024-03-12,268.3595275878906,269.9218870838713,266.03052922102415,268.66035493947476,1738700
2024-03-13,267.8257751464844,270.31975763895264,267.0688499496644,269.95099389425206,1641000
2024-03-14,263.5074462890625,269.0291298919613,262.44969368383465,268.6506524639911,2370500
2024-03-15,260.9164123535156,267.03975060191385,260.2371371854343,264.041161048191,8794200
2024-03-18,262.8863830566406,265.4870977005237,261.24637331434457,262.01301227203203,3608300
2024-03-19,263.6918640136719,265.07955554186907,261.53753347846543,262.18769737385236,3037500
2024-03-20,264.9727783203125,265.0018896927786,261.27548594299276,263.1872117078,2564500
2024-03-21,268.7574157714844,269.69872290230506,266.2731467774298,266.5060377409904,2489400
2024-03-22,268.0005187988281,270.05780150018086,266.96216378537116,269.1844306798666,2303100
2024-03-25,272.5129089355469,273.0078021937098,267.2629417079225,268.2527578390684,2954400
2024-03-26,273.4348449707031,276.0840984750525,272.39651955049015,273.8036087861246,3343000
2024-03-27,277.8308410644531,278.33547770398246,274.1917712131994,275.8123833508146,2256300
2024-03-28,275.9093933105469,280.0336719098811,275.80263187650365,279.3446534564968,2289900
2024-04-01,274.6672668457031,275.43387615565246,270.74676772343554,273.7647551126928,1868600
2024-04-02,268.039306640625,275.5115415233109,267.8743520669725,274.95839582731776,2220500
2024-04-03,266.30224609375,268.29159208536845,265.5841162972401,267.5346668732361,1669200
2024-04-04,260.1594543457031,268.5438831837093,259.8295156573767,267.8839761922383,2451200
2024-04-05,261.9644775390625,264.99217842381603,257.2385147188245,258.0342649709209,2293800
2024-04-08,261.2366943359375,262.2167969664855,259.64519364502803,261.5084103545288,1830800
2024-04-09,262.3623352050781,263.264846930278,260.63499143491464,262.19738064201454,1792600
2024-04-10,258.5679931640625,260.4408935586414,256.8018245778082,260.03330480226765,1949500
2024-04-11,262.0130310058594,264.9242869059245,260.5088939700897,262.2265242897906,2169600
2024-04-12,259.3734436035156,261.3336782223057,258.29629333301614,260.8193576254794,2140100
2024-04-15,257.65582275390625,262.91547438535,256.5301337517396,261.9450558953603,1740000
2024-04-16,257.781982421875,259.5966602634863,256.00609999727055,258.93675318168226,2017600
2024-04-17,256.2584228515625,260.819372076257,255.59854537281356,259.62577626333643,2175100
2024-04-18,254.9774627685547,258.05370246692183,254.81247859180763,257.78198646949687,2082700
2024-04-19,260.97467041015625,261.4113706318088,252.96871685524926,256.80188222140777,3380100
2024-04-22,263.8664855957031,265.06011095643026,261.857712286731,261.857712286731,2165800
2024-04-23,265.4482727050781,266.3604684227618,263.03191061193587,264.08969278985376,2493300
2024-04-24,264.9339599609375,266.729210465614,261.6733384529304,262.62435922918706,2467100
2024-04-25,261.41131591796875,266.23429659830214,259.334606306299,265.3609259526209,1794000
2024-04-26,261.99359130859375,263.6432849520288,257.8595991162522,257.8595991162522,2436900
