Price,Close,High,Low,Open,Volume
Ticker,GS,GS,GS,GS,GS
Date,,,,,
2024-04-29,421.511474609375,423.97707264835225,417.9794065109591,418.3414157222768,2453000
2024-04-30,417.4999694824219,422.0789800036936,416.8053023390135,419.2513428456979,1829900
2024-05-01,417.73480224609375,424.07492001697517,416.0127802051668,417.4804044830771,2310100
2024-05-02,423.2335205078125,424.29019691010996,418.928495019473,421.89309503515324,2087500
2024-05-03,428.7223815917969,432.7534513537934,425.53276524572004,425.61102539983546,2406300
2024-05-06,434.09393310546875,434.78860025420164,430.19003212283025,432.21536084402317,1914300
2024-05-07,434.2210998535156,437.76299159723317,433.3111799489621,435.5615551358915,2058200
2024-05-08,437.3031311035156,438.35001374133367,432.5088678520793,433.24267999967964,2006700
2024-05-09,445.7272644042969,446.57848168787586,436.70626619564774,436.70626619564774,2710200
2024-05-10,444.9151916503906,448.8484138684951,444.51403744130494,446.6665350802167,1823900
2024-05-13,443.77044677734375,447.331896057501,443.53563644551537,446.4219463038809,1579600
2024-05-14,448.5744934082031,451.80325504700795,444.2107653513188,445.02283769018146,2412900
2024-05-15,456.02996826171875,456.12781584602766,451.0009249042589,451.62709569783294,2217700
2024-05-16,454.493896484375,458.1433997720708,452.3022536836643,454.34714002162985,2070300
2024-05-17,457.62481689453125,458.5445304924237,454.2297115556455,456.31374279642534,1655900
2024-05-20,452.947998046875,461.3036807559214,452.61534012192,458.0944768140634,2591500
2024-05-21,460.25677490234375,461.13734352334023,452.2239861442963,452.2533374363664,2762600
2024-05-22,452.40008544921875,460.1784762914868,449.8268460765132,457.27257899523386,2729500
2024-05-23,448.2613525390625,454.2883995979055,447.5373341438957,454.21013944392445,2254500
2024-05-24,451.2259826660156,455.2081438254213,449.1908900776377,449.9149085215684,1932200
2024-05-28,449.8855285644531,453.6817880124968,449.00495999923163,450.0127274416646,1930800
2024-05-29,447.30255126953125,448.8386420244323,441.9016746878128,445.02282478227886,2315700
2024-05-30,443.17816162109375,448.7199549895376,440.5893499013554,445.90476493236656,2135000
2024-05-31,449.3695983886719,449.6156826835565,441.1011720884657,442.7154994819105,2638300
2024-06-03,447.853759765625,451.682815935933,443.1486290493494,451.682815935933,1930700
2024-06-04,448.168701171875,450.54095735466706,442.1740914155159,443.44389477501244,1835000
2024-06-05,454.44879150390625,455.76779974778674,450.33426921543884,450.3834740596274,1678900
2024-06-06,450.9248962402344,457.24432450710964,449.85197225198516,454.58663197939535,1598000
2024-06-07,447.78485107421875,453.93695873657873,447.38126920681736,448.3065486024034,1736100
2024-06-10,446.4461364746094,448.2277844490582,443.2470404927023,445.2452438582792,1698600
2024-06-11,437.3114929199219,444.78260893464227,436.43544840067534,443.97547523140065,1938200
2024-06-12,441.672119140625,450.4720962210722,439.2014231252753,448.4640398970512,1733000
2024-06-13,439.3589172363281,441.2980627307759,435.22468896159467,439.732970180372,1849100
2024-06-14,439.4671936035156,441.20948973510554,432.2716908175802,435.0672049607162,1559100
2024-06-17,443.12890625,443.7195145682726,436.4452783996496,438.1284865730776,1531600
2024-06-18,450.265380859375,450.5213181569306,441.48510941541804,442.5285044967906,1798400
2024-06-20,450.87567138671875,453.19872294842526,448.109686080332,450.82646653939514,2080600
2024-06-21,443.12890625,451.61388796910234,442.8532930400844,451.4957723133652,3919200
2024-06-24,454.8523864746094,456.25998150236387,442.9517529825618,444.18217451862444,1882200
