,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
34,SPXW250310C05560000,2025-03-06 17:46:47+00:00,5560.0,182.2,202.6,208.6,182.2,,,3,1.0000000000000003e-05,True,REGULAR,USD
35,SPXW250310C05570000,2025-03-07 17:07:37+00:00,5570.0,121.4,192.8,198.7,121.4,,3.0,1,1.0000000000000003e-05,True,REGULAR,USD
36,SPXW250310C05575000,2025-03-07 17:59:32+00:00,5575.0,145.65,187.9,193.8,-52.14,-26.361292,18.0,18,1.0000000000000003e-05,True,REGULAR,USD
37,SPXW250310C05580000,2025-03-07 21:00:21+00:00,5580.0,185.57,184.9,187.7,14.170013,8.26722,227.0,6,1.0000000000000003e-05,True,REGULAR,USD
38,SPXW250310C05585000,2025-03-07 20:40:02+00:00,5585.0,165.8,178.1,184.0,165.8,,33.0,0,1.0000000000000003e-05,True,REGULAR,USD
39,SPXW250310C05590000,2025-03-07 21:00:21+00:00,5590.0,175.82,175.2,177.9,175.82,,215.0,0,1.0000000000000003e-05,True,REGULAR,USD
40,SPXW250310C05595000,2025-03-07 17:55:15+00:00,5595.0,149.2,168.4,174.3,149.2,,22.0,0,1.0000000000000003e-05,True,REGULAR,USD
41,SPXW250310C05600000,2025-03-07 21:03:23+00:00,5600.0,158.42,163.6,169.4,158.42,,132.0,6,1.0000000000000003e-05,True,REGULAR,USD
42,SPXW250310C05605000,2025-03-07 20:43:04+00:00,5605.0,147.43,158.8,164.6,147.43,,27.0,8,1.0000000000000003e-05,True,REGULAR,USD
43,SPXW250310C05610000,2025-03-07 20:53:45+00:00,5610.0,153.35,154.1,159.8,153.35,,20.0,3,1.0000000000000003e-05,True,REGULAR,USD
44,SPXW250310C05615000,2025-03-07 20:56:35+00:00,5615.0,163.4,149.3,155.1,163.4,,42.0,3,1.0000000000000003e-05,True,REGULAR,USD
45,SPXW250310C05620000,2025-03-07 21:03:23+00:00,5620.0,139.62,144.6,150.4,139.62,,60.0,0,0.1511315356445313,True,REGULAR,USD
46,SPXW250310C05625000,2025-03-07 20:55:00+00:00,5625.0,153.84,140.0,145.6,153.84,,55.0,2,0.161141201171875,True,REGULAR,USD
47,SPXW250310C05630000,2025-03-07 20:55:00+00:00,5630.0,149.14,135.4,141.0,149.14,,44.0,1,0.17420259399414065,True,REGULAR,USD
48,SPXW250310C05635000,2025-03-07 21:10:46+00:00,5635.0,132.13,130.8,136.4,132.13,,37.0,3,0.18158777404785154,True,REGULAR,USD
49,SPXW250310C05640000,2025-03-07 21:14:53+00:00,5640.0,130.01,126.5,131.4,130.01,,87.0,30,0.17600311309814454,True,REGULAR,USD
50,SPXW250310C05645000,2025-03-07 21:14:53+00:00,5645.0,125.57,122.0,126.9,125.57,,31.0,3,0.18256432678222656,True,REGULAR,USD
51,SPXW250310C05650000,2025-03-07 21:10:13+00:00,5650.0,121.42,117.5,122.4,121.42,,230.0,13,0.18677571044921876,True,REGULAR,USD
52,SPXW250310C05655000,2025-03-07 21:10:13+00:00,5655.0,117.02,113.1,118.0,117.02,,79.0,14,0.19104812866210938,True,REGULAR,USD
