,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
37,SPXW250310P05325000,2025-03-07 21:04:07+00:00,5325.0,0.1,0.05,0.15,-0.75,-88.23529,141.0,155.0,0.39551385742187506,False,REGULAR,USD
38,SPXW250310P05330000,2025-03-07 21:04:07+00:00,5330.0,0.1,0.05,0.15,0.1,,3540.0,2075.0,0.39160764648437496,False,REGULAR,USD
39,SPXW250310P05340000,2025-03-07 21:13:48+00:00,5340.0,0.1,0.05,0.15,0.1,,432.0,97.0,0.3833069482421875,False,REGULAR,USD
40,SPXW250310P05350000,2025-03-07 21:12:54+00:00,5350.0,0.15,0.05,0.15,-0.70000005,-82.35294,4697.0,6054.0,0.3745179736328125,False,REGULAR,USD
41,SPXW250310P05360000,2025-03-07 21:03:40+00:00,5360.0,0.1,0.05,0.2,0.1,,406.0,29.0,0.37744763183593744,False,REGULAR,USD
42,SPXW250310P05370000,2025-03-07 21:10:47+00:00,5370.0,0.1,0.05,0.2,0.1,,644.0,47.0,0.36865865722656255,False,REGULAR,USD
43,SPXW250310P05375000,2025-03-07 21:06:22+00:00,5375.0,0.15,0.05,0.2,-0.85,-85.0,1281.0,1602.0,0.3645083081054688,False,REGULAR,USD
44,SPXW250310P05380000,2025-03-07 21:05:46+00:00,5380.0,0.15,0.05,0.2,0.15,,976.0,226.0,0.36035795898437495,False,REGULAR,USD
45,SPXW250310P05390000,2025-03-07 21:10:38+00:00,5390.0,0.1,0.05,0.2,0.1,,1143.0,92.0,0.35156898437499995,False,REGULAR,USD
46,SPXW250310P05395000,2025-03-07 21:01:44+00:00,5395.0,0.1,0.05,0.2,0.1,,125.0,,0.34717449707031245,False,REGULAR,USD
47,SPXW250310P05400000,2025-03-07 21:14:49+00:00,5400.0,0.12,0.05,0.2,-1.18,-90.76923,8990.0,1781.0,0.3430241479492187,False,REGULAR,USD
48,SPXW250310P05405000,2025-03-07 21:03:00+00:00,5405.0,0.1,0.1,0.2,0.1,,98.0,,0.33887379882812496,False,REGULAR,USD
