Date,ASIANPAINT,HDFCBANK,ITC,RELIANCE,TCS
2015-01-01,695.7550659179688,440.3434143066406,178.34396362304688,182.37442016601562,1053.841552734375
2015-01-02,719.8092041015625,446.4718322753906,178.902587890625,181.89173889160156,1067.876220703125
2015-01-05,719.7628784179688,442.7022399902344,179.60690307617188,179.89935302734375,1051.6474609375
2015-01-06,702.5814208984375,435.8106994628906,174.99227905273438,171.73471069335938,1012.876953125
2015-01-07,716.6979370117188,437.0826721191406,171.7377166748047,175.47299194335938,1000.91259765625
2015-01-08,761.88037109375,446.2637023925781,176.03665161132812,172.9568634033203,1011.7177124023438
2015-01-09,754.5899047851562,451.2589111328125,173.36502075195312,176.70541381835938,1040.0767822265625
2015-01-12,750.1785278320312,447.2812194824219,173.8264923095703,174.65139770507812,1038.999755859375
2015-01-13,774.4182739257812,445.56988525390625,174.91943359375,173.18275451660156,1034.1151123046875
2015-01-14,782.5911254882812,445.8243103027344,168.94468688964844,171.49851989746094,1044.0711669921875
2015-01-15,779.5262451171875,459.35308837890625,173.85079956054688,177.5167236328125,1051.1715087890625
2015-01-16,783.3341064453125,463.1457214355469,174.91943359375,178.63616943359375,1048.294189453125
2015-01-19,772.6072387695312,464.62579345703125,174.28793334960938,180.67987060546875,1039.5380859375
2015-01-20,779.3870239257812,472.211181640625,180.2626953125,185.48622131347656,1035.1708984375
2015-01-21,790.6243896484375,471.7486267089844,171.32484436035156,186.24620056152344,1040.69775390625
2015-01-22,805.3448486328125,472.3498840332031,170.3290252685547,181.52198791503906,1040.5943603515625
2015-01-23,800.6546630859375,482.31732177734375,169.74612426757812,182.16903686523438,1036.474609375
2015-01-27,827.0306396484375,496.7710876464844,174.9437255859375,182.6106414794922,1037.905517578125
2015-01-28,845.3731079101562,489.50946044921875,175.98809814453125,186.26673889160156,1053.4822998046875
2015-01-29,818.486328125,506.4608154296875,179.82553100585938,190.8985137939453,1055.5770263671875
2015-01-30,796.6148071289062,498.2973327636719,179.02401733398438,187.9921112060547,1029.6094970703125
2015-02-02,750.5035400390625,500.262939453125,175.18658447265625,186.51324462890625,1042.9459228515625
2015-02-03,756.6331787109375,492.16888427734375,177.8096466064453,192.58282470703125,1061.218505859375
2015-02-04,746.5563354492188,493.8338928222656,178.56256103515625,190.77528381347656,1042.987548828125
2015-02-05,753.0574340820312,497.9041442871094,179.19406127929688,189.7277374267578,1058.792236328125
2015-02-06,740.7984619140625,487.26617431640625,181.42848205566406,186.8932342529297,1068.47802734375
2015-02-09,746.3707885742188,481.0684509277344,178.7082977294922,184.1819305419922,1042.40625
2015-02-10,763.5985107421875,487.7055969238281,179.67977905273438,181.16258239746094,1012.6427612304688
2015-02-11,780.8264770507812,489.5325927734375,180.2869873046875,185.0035400390625,1020.4208374023438
2015-02-12,765.0382690429688,497.6730041503906,179.92263793945312,186.73919677734375,1021.3540649414062
2015-02-13,767.8242797851562,492.9552001953125,183.63865661621094,188.4542694091797,1053.1297607421875
2015-02-16,774.6969604492188,493.7646179199219,189.2491455078125,185.43487548828125,1072.232177734375
2015-02-18,762.5305786132812,497.11798095703125,191.0220947265625,185.19866943359375,1093.3258056640625
2015-02-19,774.6502685546875,499.4305419921875,189.07908630371094,185.2808380126953,1112.1588134765625
2015-02-20,766.8492431640625,496.3085021972656,192.3822021484375,179.3345184326172,1109.8775634765625
2015-02-23,751.896728515625,493.7414855957031,189.56483459472656,174.88760375976562,1118.6298828125
2015-02-24,742.56298828125,493.81085205078125,192.21218872070312,172.83363342285156,1121.9901123046875
2015-02-25,755.8436889648438,486.7804870605469,194.15521240234375,173.18275451660156,1108.4876708984375
2015-02-26,735.458251953125,480.16650390625,192.1879119873047,172.94659423828125,1101.9544677734375
2015-02-27,749.621337890625,487.4974670410156,191.24070739746094,175.729736328125,1104.401611328125
2015-03-02,766.7562255859375,500.7024230957031,166.73448181152344,177.5167236328125,1107.326416015625
2015-03-03,778.551025390625,501.07244873046875,165.90870666503906,185.0240936279297,1151.54638671875
2015-03-04,777.157958984375,492.7239990234375,167.22023010253906,182.36415100097656,1139.101806640625
2015-03-05,774.464599609375,501.88201904296875,168.1917266845703,181.76849365234375,1118.5472412109375
2015-03-09,754.729248046875,489.8100891113281,164.3542938232422,178.62588500976562,1097.95166015625
2015-03-10,750.3642578125,486.8267822265625,164.45144653320312,176.4691925048828,1096.250732421875
2015-03-11,751.3394775390625,488.6305847167969,164.28143310546875,175.81190490722656,1081.2547607421875
2015-03-12,750.5035400390625,487.7750244140625,168.38604736328125,177.4242706298828,1086.4398193359375
2015-03-13,750.7821044921875,482.2479248046875,164.8643341064453,174.61032104492188,1071.2161865234375
2015-03-16,772.5608520507812,486.36431884765625,162.92129516601562,172.96713256835938,1062.8988037109375
2015-03-17,772.1429443359375,489.3706359863281,165.1558074951172,175.99676513671875,1071.7762451171875
2015-03-18,756.1687622070312,491.9145812988281,163.5285186767578,178.4204864501953,1061.6748046875
2015-03-19,775.300537109375,486.6649169921875,161.92555236816406,175.8529815673828,1076.9820556640625
2015-03-20,752.2217407226562,488.3763427734375,159.0595703125,175.43191528320312,1083.07958984375
2015-03-23,753.754150390625,484.6067199707031,159.0353240966797,172.93629455566406,1085.6517333984375
2015-03-24,755.3330078125,480.0740051269531,158.62242126464844,174.168701171875,1074.9285888671875
2015-03-25,750.8750610351562,478.3627014160156,158.71958923339844,173.542236328125,1067.6485595703125
2015-03-26,736.5726928710938,465.73583984375,156.60653686523438,170.3380126953125,1042.4898681640625
2015-03-27,722.688232421875,469.2972412109375,154.22634887695312,166.7229766845703,1043.1947021484375
2015-03-30,749.8998413085938,479.5884094238281,159.108154296875,166.52784729003906,1063.6661376953125
2015-03-31,753.4755859375,473.0205078125,158.2823944091797,169.6602020263672,1059.435302734375
2015-04-01,763.1341552734375,477.900146484375,161.4883575439453,171.72445678710938,1054.7476806640625
2015-04-06,765.734619140625,477.2988586425781,165.6415557861328,169.38287353515625,1056.676513671875
2015-04-07,775.672119140625,477.6689147949219,165.4472198486328,171.06719970703125,1072.3153076171875
2015-04-08,786.49169921875,478.9639587402344,168.1917266845703,177.85562133789062,1095.7110595703125
2015-04-09,792.3427124023438,488.46875,168.62892150878906,183.85330200195312,1105.3140869140625
2015-04-10,798.1936645507812,482.2479248046875,168.38604736328125,185.7532501220703,1100.8343505859375
2015-04-13,800.6083984375,480.4671325683594,170.74195861816406,189.4812774658203,1101.5604248046875
2015-04-15,779.2476196289062,477.1601257324219,172.41778564453125,189.7174835205078,1090.0487060546875
2015-04-16,763.6451416015625,476.235107421875,170.0618896484375,190.68284606933594,1071.4027099609375
2015-04-17,758.5836791992188,470.9623107910156,170.91195678710938,190.374755859375,1026.622802734375
2015-04-20,751.29296875,464.8801574707031,166.07872009277344,181.91226196289062,1007.52001953125
2015-04-21,739.7302856445312,463.9089050292969,166.10301208496094,180.02261352539062,1006.794189453125
2015-04-22,729.468017578125,468.5803527832031,166.80735778808594,180.70042419433594,1014.2820434570312
2015-04-23,730.3502197265625,468.765380859375,166.1758575439453,180.14581298828125,1019.3216552734375
2015-04-24,716.372802734375,465.5046081542969,169.0175018310547,180.5258026123047,1034.172607421875
2015-04-27,691.7152099609375,465.0420837402344,167.51168823242188,179.78640747070312,1037.1385498046875
2015-04-28,710.8934326171875,464.62579345703125,163.96571350097656,177.71188354492188,1034.9813232421875
2015-04-29,700.6311645507812,459.35308837890625,159.399658203125,174.58978271484375,1031.7869873046875
2015-04-30,708.1071166992188,457.3410339355469,156.58224487304688,177.12646484375,1021.997314453125
2015-05-04,723.84912109375,462.960693359375,160.39541625976562,183.0009307861328,1029.402099609375
2015-05-05,725.70654296875,456.8092041015625,158.47669982910156,183.2473907470703,1044.4599609375
2015-05-06,706.621337890625,448.9231262207031,154.6392822265625,180.80313110351562,1021.7278442382812
2015-05-07,711.1720581054688,439.99652099609375,156.67942810058594,178.85183715820312,1055.8258056640625
2015-05-08,705.2745971679688,454.1959533691406,159.32676696777344,187.4077606201172,1048.35888671875
2015-05-11,716.6515502929688,458.0348815917969,158.57383728027344,188.7242431640625,1060.2855224609375
2015-05-12,704.2994995117188,449.547607421875,157.5051727294922,182.9842987060547,1046.554931640625
2015-05-13,708.15380859375,458.0117492675781,159.25390625,186.43881225585938,1043.4434814453125
2015-05-14,739.6838989257812,458.38177490234375,157.72378540039062,184.98538208007812,1036.7445068359375
2015-05-15,733.9721069335938,457.9423522949219,158.549560546875,184.0901336669922,1041.680908203125
2015-05-18,712.1007690429688,467.0771484375,161.7555389404297,187.7974395751953,1045.517578125
2015-05-19,719.5306396484375,466.0133361816406,161.5369415283203,188.64002990722656,1042.32373046875
2015-05-20,716.2335815429688,473.64495849609375,161.2454833984375,191.4415283203125,1060.720947265625
2015-05-21,721.805908203125,473.94561767578125,159.0353240966797,188.8927764892578,1060.078125
2015-05-22,720.1342163085938,473.7606201171875,159.88539123535156,190.38833618164062,1085.9630126953125
2015-05-25,707.5965576171875,473.4136962890625,153.88633728027344,188.4188232421875,1078.9522705078125
2015-05-26,709.0823364257812,475.1944274902344,152.52622985839844,186.33346557617188,1082.2088623046875
2015-05-27,705.1353759765625,480.16650390625,154.32351684570312,186.48094177246094,1084.863525390625
2015-05-28,712.6578979492188,476.1194763183594,156.1450958251953,184.47984313964844,1082.478515625
2015-05-29,730.9539184570312,485.90179443359375,158.88958740234375,184.73263549804688,1082.8104248046875
2015-06-01,733.4615478515625,479.26458740234375,161.29405212402344,190.05130004882812,1085.9007568359375
2015-06-02,705.0887451171875,466.5915222167969,154.7849884033203,189.29298400878906,1078.49609375
2015-06-03,708.3392944335938,465.0882873535156,150.8212127685547,188.8085174560547,1083.059326171875
2015-06-04,705.4603881835938,469.4360046386719,149.43389892578125,192.2525177001953,1080.8812255859375
2015-06-05,704.7172241210938,467.9559631347656,150.7716827392578,191.20982360839844,1078.453369140625
2015-06-08,694.6871337890625,464.11700439453125,150.79644775390625,186.51254272460938,1079.122802734375
2015-06-09,683.263916015625,463.376953125,148.9384002685547,186.1439208984375,1072.507568359375
2015-06-10,686.4677734375,469.7366638183594,149.1861572265625,190.79910278320312,1088.8778076171875
2015-06-11,657.90966796875,462.6138000488281,147.1795196533203,184.7642059326172,1076.5474853515625
2015-06-12,655.355712890625,466.7533874511719,147.42724609375,187.43934631347656,1049.12451171875
2015-06-15,648.761474609375,464.92645263671875,147.89796447753906,189.94598388671875,1048.7064208984375
2015-06-16,654.7054443359375,466.40655517578125,148.1209259033203,190.40940856933594,1051.72021484375
2015-06-17,659.999267578125,464.6951904296875,149.1861572265625,196.14938354492188,1052.4739990234375
2015-06-18,676.9949951171875,471.58673095703125,149.58255004882812,206.20750427246094,1059.2774658203125
2015-06-19,687.2572021484375,476.62823486328125,151.11849975585938,209.9358673095703,1067.4415283203125
2015-06-22,694.4086303710938,484.3292541503906,153.79405212402344,208.8931884765625,1085.0052490234375
2015-06-23,702.5814208984375,486.6186828613281,155.85025024414062,209.5883026123047,1077.9295654296875
2015-06-24,703.9356689453125,483.704833984375,155.4043426513672,208.72467041015625,1076.12939453125
2015-06-25,700.71337890625,492.5851745605469,154.7602081298828,211.5999298095703,1067.630126953125
2015-06-26,700.7598876953125,491.59075927734375,152.58013916015625,210.7889862060547,1085.5498046875
2015-06-29,688.103759765625,488.7231140136719,153.57107543945312,208.71414184570312,1085.5911865234375
2015-06-30,705.5234375,493.5796203613281,156.14752197265625,210.66259765625,1068.0281982421875
2015-07-01,710.6138916015625,495.98468017578125,155.37953186035156,211.83163452148438,1085.6754150390625
2015-07-02,712.575439453125,493.1189270019531,156.09796142578125,212.92701721191406,1079.248291015625
2015-07-03,721.7290649414062,500.5980529785156,156.37049865722656,212.1581268310547,1090.197265625
2015-07-06,731.8632202148438,504.9085998535156,157.75779724121094,213.91702270507812,1102.506103515625
2015-07-07,770.2055053710938,506.4696044921875,157.23756408691406,211.32611083984375,1095.3675537109375
2015-07-08,749.3297119140625,498.0817565917969,155.05747985839844,209.9253387451172,1086.512451171875
2015-07-09,744.3794555664062,500.50494384765625,153.8931121826172,207.98741149902344,1056.11669921875
2015-07-10,742.8381958007812,508.2870178222656,153.5463104248047,211.02066040039062,1035.95703125
2015-07-13,763.7139892578125,510.8035583496094,155.87501525878906,212.1160125732422,1050.6943359375
2015-07-14,768.4307861328125,508.7996826171875,154.73544311523438,210.17811584472656,1046.48681640625
2015-07-15,782.58154296875,511.05975341796875,155.57772827148438,212.9901580810547,1065.85107421875
2015-07-16,792.1085205078125,519.4478149414062,157.53482055664062,215.63372802734375,1063.527099609375
2015-07-17,770.9527587890625,517.5138549804688,159.69015502929688,215.21241760253906,1073.6590576171875
2015-07-20,796.0781860351562,519.7039794921875,158.7982940673828,215.8549041748047,1082.1552734375
2015-07-21,762.2194213867188,511.6888732910156,155.2804412841797,212.28451538085938,1074.708251953125
2015-07-22,787.6719360351562,519.3079223632812,155.82550048828125,221.2578582763672,1060.7152099609375
2015-07-23,790.6608276367188,516.2789306640625,156.12271118164062,220.18356323242188,1044.162841796875
2015-07-24,792.9959716796875,516.2556762695312,155.85025024414062,215.91807556152344,1051.1064453125
2015-07-27,796.8721923828125,510.6636962890625,154.41336059570312,211.76844787597656,1047.7081298828125
2015-07-28,780.0595092773438,516.5584716796875,154.19039916992188,212.8005828857422,1049.8062744140625
2015-07-29,790.9876708984375,516.4886474609375,150.62303161621094,209.79896545410156,1051.778076171875
2015-07-30,800.9818725585938,517.5138549804688,156.5438995361328,210.67311096191406,1040.8272705078125
2015-07-31,824.56640625,518.0265502929688,161.5233917236328,211.03121948242188,1053.456298828125
2015-08-03,819.615966796875,510.4540100097656,164.2732391357422,211.15757751464844,1052.973876953125
2015-08-04,845.9557495117188,506.2833251953125,163.45570373535156,208.11380004882812,1052.6800537109375
2015-08-05,862.3947143554688,508.9627380371094,164.39707946777344,208.0611572265625,1068.7293701171875
2015-08-06,855.6696166992188,510.7102355957031,161.6472625732422,206.20750427246094,1079.700927734375
2015-08-07,839.3707885742188,509.1725158691406,160.7554168701172,207.34498596191406,1070.784912109375
2015-08-10,842.6400146484375,510.1044921875,159.02122497558594,204.090576171875,1079.1976318359375
2015-08-11,825.1267700195312,510.1277160644531,158.60012817382812,203.47972106933594,1092.6663818359375
2015-08-12,813.8715209960938,498.8273010253906,156.9402618408203,198.61387634277344,1120.9874267578125
2015-08-13,816.6737670898438,502.1358642578125,156.74209594726562,196.60223388671875,1105.84130859375
2015-08-14,836.1950073242188,513.4363403320312,157.6339569091797,203.67979431152344,1134.2041015625
2015-08-17,840.6783447265625,508.6366882324219,157.0146026611328,200.25689697265625,1126.462890625
2015-08-18,841.8926391601562,506.2366027832031,155.9988555908203,198.86666870117188,1150.0224609375
2015-08-19,840.398193359375,504.1396484375,157.0146026611328,201.07838439941406,1146.9599609375
2015-08-20,824.9398193359375,500.807861328125,163.1831817626953,193.01084899902344,1127.3443603515625
2015-08-21,828.2557983398438,494.5634765625,163.8768768310547,191.25196838378906,1122.8544921875
2015-08-24,782.2542724609375,474.87506103515625,158.649658203125,174.7376708984375,1081.946044921875
2015-08-25,795.9381103515625,474.5954284667969,158.50100708007812,178.65560913085938,1077.12060546875
2015-08-26,795.70458984375,472.2887268066406,157.38616943359375,179.761474609375,1081.1484375
2015-08-27,798.60009765625,476.29632568359375,161.37474060058594,183.07907104492188,1080.2674560546875
