Date,AAPL,AMZN,GOOG,META,NFLX
2015-01-02,24.320432662963867,15.425999641418457,26.074962615966797,78.15145874023438,49.84857177734375
2015-01-05,23.635284423828125,15.10949993133545,25.531415939331055,76.89627075195312,47.31142807006836
2015-01-06,23.637514114379883,14.76449966430664,24.939672470092773,75.86021423339844,46.50143051147461
2015-01-07,23.968955993652344,14.920999526977539,24.896942138671875,75.86021423339844,46.74285888671875
2015-01-08,24.889896392822266,15.02299976348877,24.975444793701172,77.88249206542969,47.779998779296875
2015-01-09,24.916597366333008,14.846500396728516,24.65199851989746,77.44416046142578,47.04142761230469
2015-01-12,24.302631378173828,14.570500373840332,24.472139358520508,76.42804718017578,45.547142028808594
2015-01-13,24.518407821655273,14.737000465393066,24.652494430541992,76.1590805053711,46.255714416503906
2015-01-14,24.424991607666016,14.66349983215332,24.885515213012695,75.9897232055664,46.31999969482422
2015-01-15,23.7620792388916,14.34749984741211,24.931224822998047,73.7682113647461,46.25143051147461
2015-01-16,23.57744598388672,14.536999702453613,25.24374008178711,74.89391326904297,48.191429138183594
2015-01-20,24.184738159179688,14.472000122070312,25.18511390686035,75.94987487792969,49.82857131958008
2015-01-21,24.369369506835938,14.862500190734863,25.73859977722168,76.44796752929688,58.468570709228516
2015-01-22,25.00335121154785,15.515999794006348,26.550941467285156,77.3545150756836,61.20571517944336
2015-01-23,25.132369995117188,15.619500160217285,26.827186584472656,77.53382873535156,62.494285583496094
2015-01-26,25.15906524658203,15.482999801635742,26.59168243408203,77.20508575439453,63.79428482055664
2015-01-27,24.278169631958008,15.337499618530273,25.767913818359375,75.49162292480469,64.88143157958984
2015-01-28,25.650680541992188,15.195500373840332,25.339134216308594,75.94987487792969,63.20857238769531
2015-01-29,26.449277877807617,15.58899974822998,25.371929168701172,77.70318603515625,63.400001525878906
2015-01-30,26.06220817565918,17.726499557495117,26.557401657104492,75.62113189697266,63.11428451538086
2015-02-02,26.38921356201172,18.223499298095703,26.257305145263672,74.70463562011719,63.0099983215332
2015-02-03,26.393661499023438,18.177499771118164,26.295066833496094,75.11307525634766,65.27428436279297
2015-02-04,26.59609031677246,18.237499237060547,25.973112106323242,75.3421859741211,64.10143280029297
2015-02-05,26.78592300415039,18.694499969482422,26.212589263916016,75.32228088378906,64.12999725341797
2015-02-06,26.560361862182617,18.714000701904297,26.38251304626465,74.18661499023438,63.47999954223633
2015-02-09,26.73678970336914,18.527999877929688,26.225011825561523,74.15672302246094,63.29571533203125
2015-02-10,27.25044059753418,18.649999618530273,26.677637100219727,74.90387725830078,64.8499984741211
2015-02-11,27.8891658782959,18.756999969482422,26.629444122314453,76.2188491821289,64.98428344726562
2015-02-12,28.242019653320312,18.85849952697754,26.975248336791992,75.93991088867188,65.24714660644531
2015-02-13,28.380477905273438,19.09149932861328,27.277332305908203,75.45177459716797,66.5857162475586
2015-02-17,28.5479793548584,18.771499633789062,26.970779418945312,75.31230926513672,67.13714599609375
2015-02-18,28.746742248535156,18.668500900268555,26.814767837524414,76.41808319091797,67.86571502685547
2015-02-19,28.68644142150879,18.950000762939453,26.97226905822754,79.1177749633789,67.80000305175781
2015-02-20,28.920928955078125,19.183000564575195,26.777503967285156,79.595947265625,68.31428527832031
2015-02-23,29.70258331298828,19.006999969482422,26.427724838256836,78.53997039794922,67.40571594238281
2015-02-24,29.51721954345703,18.929500579833984,26.635406494140625,78.15145874023438,67.83999633789062
2015-02-25,28.762367248535156,19.26849937438965,27.02195167541504,79.25724029541016,68.33285522460938
2015-02-26,29.12639808654785,19.239999771118164,27.59878921508789,80.10400390625,69.00428771972656
2015-02-27,28.688678741455078,19.007999420166016,27.74386978149414,78.66949462890625,67.84428405761719
2015-03-02,28.829370498657227,19.283000946044922,28.38678741455078,79.44651794433594,68.60713958740234
2015-03-03,28.88967514038086,19.230499267578125,28.501062393188477,79.2970962524414,67.81571197509766
2015-03-04,28.70653533935547,19.13599967956543,28.487646102905273,80.59214782714844,67.11000061035156
