Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
1996-01-01,2.3310296535491943,2.3701408517972875,2.28800724222784,2.3701408517972875,350000
1996-01-02,2.327117919921875,2.3662292959180307,2.3075624184206593,2.3310291321202357,412000
1996-01-03,2.334940195083618,2.342762433108307,2.3075624552456393,2.3271179570589293,284000
1996-01-04,2.319295644760132,2.3310290946698413,2.299740143573096,2.3349401203085045,282000
1996-01-05,2.31538462638855,2.3310291019860245,2.3075623885898127,2.3192956520394885,189000
1996-01-08,2.2880070209503174,2.307562711431548,2.276273755859088,2.315384950324663,237000
1996-01-09,2.2136952877044678,2.2880066379997896,2.1902285749528168,2.2880066379997896,483000
1996-01-10,2.2215182781219482,2.2410739719571664,2.198051557417837,2.2136960378872446,226000
1996-01-11,2.2136952877044678,2.2528066621207405,2.1902285749528168,2.2215175252883514,318000
1996-01-12,2.209784507751465,2.217606746204695,2.190228818369953,2.2136955337296422,431000
1996-01-15,2.182406425476074,2.201962113473704,2.170673161874986,2.2097843513733837,181000
1996-01-16,2.1432945728302,2.1902279857068137,2.1432945728302,2.182405750227378,358000
1996-01-17,2.0768065452575684,2.1863180847434016,2.057251039757995,2.1432956742492992,429000
1996-01-18,2.065073013305664,2.076806277794953,2.0337838728415143,2.076806277794953,330000
1996-01-19,1.9985839128494263,2.0572507953727834,1.9829394357094483,2.0650730339427725,426000
1996-01-22,1.990761399269104,2.025961374722975,1.9712057122971791,1.9985836367585035,359000
1996-01-23,1.9790282249450684,2.0337838949839377,1.9633837477911056,1.9907616760589797,399000
1996-01-24,1.9281845092773438,1.979029177755503,1.9164512390112873,1.979029177755503,449000
1996-01-25,1.9047167301177979,1.9164501803994805,1.885161228310814,1.9281834441842978,390000
1996-01-26,1.9047167301177979,1.9047167301177979,1.9047167301177979,1.9047167301177979,0
1996-01-29,1.9438278675079346,1.9516501053179458,1.8734277272178346,1.904716678457879,311000
1996-01-30,1.9712055921554565,1.9946723031933975,1.9438276693627714,1.9438276693627714,452000
1996-01-31,2.025961399078369,2.0611615614522565,1.9946724487446266,1.9712057359943198,344000
1996-02-01,2.17458438873291,2.190228865979437,2.0337839070172885,2.025961668394025,424000
1996-02-02,2.280184745788574,2.342762655938129,2.190228906700147,2.174584429162758,819000
1996-02-05,2.3427622318267822,2.424895817277833,2.307562256988367,2.2801843330057334,906000
1996-02-06,2.327117919921875,2.3857847974192463,2.3075624184206593,2.3427623957215924,888000
1996-02-07,2.2410733699798584,2.2880067987812382,2.2097844174456056,2.3271179894490546,586000
1996-02-08,2.381873846054077,2.4640074398143463,2.2567178492534596,2.241073372965491,667000
1996-02-09,2.8551197052001953,2.8590307310034704,2.6204521891039523,2.381873833701302,1720000
1996-02-12,2.7456085681915283,2.968542664977319,2.6986751330251177,2.8551201034100466,2851000
1996-02-13,2.6986751556396484,2.816008744538914,2.6008970716418123,2.816008744538914,1451000
1996-02-14,2.902052879333496,2.9724530160907108,2.808185843827026,2.69867451998247,2464000
1996-02-15,2.8824970722198486,2.9489861807413575,2.8707638098318427,2.902052758195649,1191000
1996-02-16,2.7847201824188232,2.8746760399139473,2.745608980572448,2.8824982802832224,1396000
1996-02-19,2.749519109725952,2.8551194063158905,2.7377856605506934,2.784719084258033,1297000
1996-02-20,2.632185935974121,2.7495197072377016,2.585252502067444,2.7495197072377016,1361000
1996-02-21,2.632185935974121,2.632185935974121,2.632185935974121,2.632185935974121,0
1996-02-22,2.679119110107422,2.718230301237344,2.6595636077908957,2.6321856807515154,848000
1996-02-23,2.6752076148986816,2.7377855097277566,2.6595631411914127,2.67911864007708,687000
1996-02-26,2.64782977104187,2.7182299048085183,2.640007533956687,2.6752076940884324,647000
1996-02-27,2.6556527614593506,2.679119479371733,2.5813413948216923,2.651741735055735,841000
1996-02-28,2.6008968353271484,2.6947636979179204,2.585252358228687,2.655652505171765,422000
1996-02-29,2.3975183963775635,2.581341091686085,2.3466737536231452,2.581341091686085,1275000
1996-03-01,2.432718515396118,2.464007657229768,2.3466738882200135,2.3975185338906995,732000
1996-03-04,2.3975183963775635,2.4248961374785005,2.385784945550823,2.4327183758640363,647000
1996-03-05,2.3975183963775635,2.3975183963775635,2.3975183963775635,2.3975183963775635,0
1996-03-06,2.424896001815796,2.464007378052231,2.4092515259199674,2.3975182622465274,360000
1996-03-07,2.3936071395874023,2.4640074702497126,2.366229398993722,2.42489609254982,486000
1996-03-08,2.385784864425659,2.4014293406647624,2.346673673827901,2.393607102545211,387000
1996-03-11,2.3427622318267822,2.381873605086787,2.32711775712152,2.385784630514678,324000
1996-03-12,2.3114733695983887,2.3427623201890424,2.2919178687276585,2.3427623201890424,400000
1996-03-13,2.4092516899108887,2.4248961668715925,2.346673782068074,2.3114736156580524,486000
1996-03-14,2.4014296531677246,2.4640077527644215,2.3818741485724813,2.4092518923052,529000
1996-03-15,2.3466734886169434,2.424895863638767,2.3466734886169434,2.424895863638767,807000
1996-03-18,2.334940195083618,2.3662293336792395,2.2919179791962616,2.3466736453690844,388000
1996-03-19,2.3114733695983887,2.346673532261302,2.268451155784668,2.334940082541379,617000
1996-03-20,2.3114733695983887,2.3114733695983887,2.3114733695983887,2.3114733695983887,0
1996-03-21,2.350585460662842,2.358407700694294,2.307563047241397,2.311474074008667,643000
1996-03-22,2.3427622318267822,2.3623179184567844,2.2958288077109956,2.3505846556762626,194000
1996-03-25,2.3662290573120117,2.385784556841288,2.3310288970637334,2.3427621594819303,413000
1996-03-26,2.381873846054077,2.409251586309588,2.3310292048697447,2.3662293697661085,643000
1996-03-27,2.424896001815796,2.43271823976371,2.3701403361803957,2.381873786350699,795000
1996-03-28,2.5109405517578125,2.561785186524747,2.448362654504259,2.424895756537332,1124000
